"Id","PHO_mean","LC_mean","MC_mean","RH_mean","MEDI_mean","SC_mean","PHO_sd","LC_sd","MC_sd","RH_sd","MEDI_sd","SC_sd"
"201",411.154568077244,404.931484051817,398.617808895541,378.854003700615,378.353155418228,350.951278307362,708.527633451255,697.484495571005,695.796019413947,677.214330653206,682.172672214365,652.106049470579
"202",52.883089546972,52.1696824603467,49.8725353161308,45.1806102336637,44.2291433875461,38.8453610328791,115.38680189535,113.253834660883,112.527548669756,106.914831434106,106.47014908822,96.8593705186347
"204",923.003523505344,913.204892725859,875.267483973708,809.28401089327,806.525305426388,722.099819660914,3288.5284962429,3251.79101804725,3085.09263029465,2805.55463105027,2779.94186740564,2403.39058714842
"205",371.669460218197,368.236274236629,354.242308833401,332.394914877302,331.96569172885,304.528569878441,968.838123963889,961.91378066805,925.476581381108,878.959709114594,883.274189446819,829.577056721153
"206",40.7124827749013,40.3360615371682,36.4852587659516,30.5965387734252,29.3641113942135,23.7472215011373,79.1892135110291,78.0545491686222,73.5125180832156,65.1884435032162,63.9964374844148,54.9747765415405
"208",116.381089864489,115.007013035314,107.098692091404,93.2608225582761,90.3415779103856,76.863887211127,321.713018406737,317.707667252296,301.010021062261,270.587322033963,265.328193268698,215.676688414273
"209",153.178915111582,150.443261509009,145.16464802902,132.032652281051,129.375813499839,107.835733423562,278.86498116537,273.459414804644,266.853200506971,247.376993374529,244.478810452623,207.773890067452
"210",330.924243794779,327.109734369117,324.686518840791,317.820711032913,322.532684514645,320.938921361647,607.817427396711,601.919582686245,598.194478807679,591.186410172172,603.207075377082,624.883109726829
"212",214.53098332167,211.354121290321,204.19565057241,188.31060429458,186.18689883656,169.373124003234,658.415168689807,650.490474482456,629.605377143237,593.289115874231,593.95986170383,555.23424644847
"213",104.085899030711,102.368476243001,98.4584017661826,89.2855613236081,87.9272536120855,79.6703883867796,291.980201570914,287.318126722112,284.840774599044,272.238320969696,273.595977004682,265.316475101039
"214",218.266669844483,216.818669331142,202.876724421906,183.125289181836,181.639224991819,166.298242561613,469.231067143114,466.393919885218,436.471499815859,395.349756629922,392.363480699812,358.478482590237
"215",248.673555632572,245.617552222979,233.321554630218,211.941439396249,209.347851615418,183.319617812364,1381.26477635207,1366.33681455123,1294.30315149817,1186.65665221938,1177.41716948777,1024.28181599966
"216",380.903867834041,379.590436597471,347.968207004395,317.637238900239,316.024522703321,280.953127753166,1957.15605169198,1932.861479012,1837.35108648676,1677.29925305152,1655.72726634521,1393.53273647632
"218",89.0328994724338,87.572950647127,81.9916255058924,71.2813743219363,68.8987879315782,61.7213151847702,132.5320547776,130.576687620215,124.579415793056,113.756741213559,112.65114787625,100.629274823364
"219",294.918981452583,289.043051344583,279.798670349531,254.566856654095,250.559028947652,220.29139011566,1970.04035311976,1932.91747192472,1867.66054310203,1706.31295053734,1676.44198853616,1378.76819336138
"221",62.8865359117832,61.3662584539348,55.8462907525657,43.5544563111562,41.7087521572741,39.5782124393674,160.618661870779,155.39423015303,142.795127207026,108.257981399551,103.739416319513,102.85756728325
"222",39.4432561882921,38.758690249653,35.1406456943754,28.043411264391,26.6727570382602,23.4979333829844,110.460487793954,107.805920613406,98.6025165623511,77.6598045243314,74.2710298755829,69.2424208496217
"223",114.182591829148,112.401450454562,106.209592006616,93.6349567490376,91.8191944038406,76.548446023941,629.242867415806,618.996578529923,592.830634435295,535.984499689179,527.074908682458,420.590201111302
"224",67.8876447286965,66.8051057948121,62.4610303299326,53.8698086734609,52.3292024732104,45.113684096877,253.347623958362,249.55768729192,242.324589494248,226.288028863051,225.393765446489,197.623257046468
"225",72.559856204848,71.4833436190762,67.6615055716802,60.0259253174732,58.847575560783,52.8847572685177,178.486866276036,175.591941722634,176.021619252737,173.41436500019,175.766006706811,163.381361888432
"226",50.5882896007599,49.8807406479365,44.7598111566748,35.4950954797368,33.3449549721332,27.1574879076959,106.425763576002,104.357490638172,95.2322567830765,77.0449865037778,72.9117819938492,62.2213304663336
"227",61.7762454763896,60.7571487950767,54.4179570522824,42.7180954051947,40.5282033505634,36.7363828653776,107.408277477198,106.017587194734,100.072677668579,91.3512525769597,90.910497378961,84.6030454816526
"228",106.937912986483,105.525550015175,95.740515422548,78.7468877220706,75.443926795494,63.9814745618774,209.902762708493,206.821472497406,195.707409797827,175.124868768727,172.739176210913,154.705278225033
"229",85.6493784126695,83.4368276844432,74.4049892001048,54.2482335532099,51.2720023368752,47.9065142708669,123.737297290303,119.938427903109,108.493549564829,80.6667545751796,77.2769733476082,72.4494801628931
"230",55.0281345194538,53.9792973549959,49.3145265493236,39.8887055379711,38.4606033466226,34.5445315232207,114.095038580737,111.293481056227,103.372493038313,84.5687370620385,82.1826331420996,75.0419838395651
"231",48.4063120718776,47.6878086718665,43.0096143995404,34.6637127355944,33.013018135204,29.0519348665391,105.061569099972,103.283878375015,95.1514659874585,80.363022723794,78.3804955174437,71.7060011253427
