"Id","CLEAR_mean","IR.LIGHT_mean","F8_mean","F7_mean","F6_mean","F5_mean","CLEAR_sd","IR.LIGHT_sd","F8_sd","F7_sd","F6_sd","F5_sd"
"201",0.314642857142857,0.149404761904762,0.0988684523809524,0.0862565476190476,0.0745583333333333,0.0689303571428571,0.592288662485745,0.384873729010669,0.173036117215637,0.147130499994829,0.127588835045796,0.119920404619827
"202",0.0383928571428571,0.0160119047619048,0.0122821428571429,0.0113511904761905,0.00999464285714286,0.00889940476190476,0.0930284249725088,0.052791986791596,0.0280664381187581,0.0236071363109087,0.0211578081421651,0.0201813054449887
"204",0.836878612716763,0.486300578034682,0.275173988439306,0.216700578034682,0.180243930635838,0.158137572254335,2.90178705408796,1.64796356425971,1.03496138809268,0.795892492630283,0.637258595543256,0.55409908276587
"205",0.343255813953488,0.205232558139535,0.106299418604651,0.0879732558139535,0.0749087209302326,0.0663755813953488,0.983730745575517,0.649181629211501,0.302177768348154,0.241641597453226,0.203116832638948,0.17913208034091
"206",0.0304678362573099,0.0132748538011696,0.011340350877193,0.0099233918128655,0.00831461988304094,0.00681345029239766,0.0652760010444076,0.0392552792906175,0.0228854245393602,0.0179680183909779,0.0152433039205247,0.0133690509725937
"208",0.0860119047619048,0.0410119047619048,0.0273053571428571,0.026222619047619,0.0236113095238095,0.0197255952380952,0.282967888999323,0.169817231378317,0.091710152801191,0.0748524886304882,0.0633621209739919,0.054838121052801
"209",0.11547619047619,0.0556547619047619,0.0386416666666667,0.0329142857142857,0.0289541666666667,0.0261494047619048,0.251462332803411,0.153796817051824,0.0802279106962821,0.0637812722740768,0.0558650854019402,0.0515635390806122
"210",0.246176470588235,0.115411764705882,0.0696405882352941,0.0635523529411765,0.0590070588235294,0.0547735294117647,0.48861726594461,0.261280655475796,0.13716803520248,0.120427493078223,0.112059364326727,0.104244963293604
"212",0.175240963855422,0.0959638554216868,0.0534132530120482,0.0471704819277108,0.0411228915662651,0.0371861445783133,0.668001725462505,0.448108454020274,0.194346191749506,0.157919248358744,0.138126540863739,0.124892647674823
"213",0.0749700598802395,0.035748502994012,0.0235952095808383,0.0216694610778443,0.0192353293413174,0.0172323353293413,0.262831831001014,0.167340671158117,0.0791723054660988,0.0637512794226207,0.0558835795847954,0.0508658681090698
"214",0.208914285714286,0.136571428571429,0.0637102857142857,0.0521074285714286,0.04544,0.0380102857142857,0.471737395986111,0.343800119498943,0.139833240615214,0.11202494899518,0.097910627791281,0.0815689061182029
"215",0.217470588235294,0.132588235294118,0.06959,0.0573547058823529,0.0492570588235294,0.0430282352941176,1.24075328415748,0.780409773929945,0.421136890933727,0.330686881888991,0.27382953986475,0.23618421709579
"216",0.356436781609195,0.205977011494253,0.136756896551724,0.120020114942529,0.0712402298850575,0.0617816091954023,1.62242698171882,0.966065208931457,0.577357867236324,0.458023052652026,0.357358593064363,0.312084247010447
"218",0.0565882352941176,0.0251176470588235,0.0171905882352941,0.0193835294117647,0.0165847058823529,0.0145294117647059,0.0883049174205739,0.0445256157281331,0.029790595090816,0.0271930501348272,0.024382472635204,0.0215924862206832
"219",0.175232558139535,0.0569186046511628,0.062903488372093,0.0581709302325581,0.0521482558139535,0.0480104651162791,1.15407462917006,0.343516957032403,0.454043290423285,0.394323929198205,0.341863250501898,0.312345789797879
"221",0.0297701149425287,0.00816091954022988,0.00792931034482759,0.012283908045977,0.0118741379310345,0.010767816091954,0.0681205495803669,0.0171716082132492,0.0167658268798981,0.0286935608315491,0.0288330708507794,0.0280190438716319
"222",0.0221965317919075,0.00739884393063584,0.0066728323699422,0.00804739884393064,0.00785317919075145,0.00664104046242775,0.0553511684462642,0.0213129341350841,0.0163257932447576,0.020035803901069,0.0215823909100017,0.0189952899016053
"223",0.0744705882352941,0.0250588235294118,0.0275552941176471,0.0242888235294118,0.0210423529411765,0.0188058823529412,0.396985701327924,0.11199242926031,0.159924442962962,0.13356939221644,0.112137031425467,0.101864514209483
"224",0.0455357142857143,0.0191666666666667,0.0149297619047619,0.0146261904761905,0.0130470238095238,0.0113011904761905,0.202983020228991,0.109163485958752,0.0679144914642021,0.0558212987468391,0.0477554472869878,0.0427681396723001
"225",0.0432941176470588,0.0132352941176471,0.0143535294117647,0.0143970588235294,0.01334,0.0116882352941176,0.109375724352432,0.0361882478091822,0.0364980896705529,0.0319285378581581,0.0292188587070408,0.0278666113198786
"226",0.0304093567251462,0.00935672514619883,0.0103456140350877,0.0110953216374269,0.0104497076023392,0.00851052631578947,0.0589152604334115,0.0254638428510242,0.0191156733060667,0.0211528827485147,0.0219738892492324,0.0180072242124934
"227",0.0351785714285714,0.0126785714285714,0.0104339285714286,0.0132416666666667,0.0119125,0.0102916666666667,0.0649732622509275,0.029087380523715,0.0222359309764641,0.0212648015844763,0.0193317652635136,0.0170008679477856
"228",0.0665497076023392,0.0269005847953216,0.0211988304093567,0.0231292397660819,0.0218233918128655,0.0178385964912281,0.167333135980214,0.0950373706664142,0.0556602160046369,0.0469934096631813,0.0420075557932386,0.0361212211753015
"229",0.0420710059171598,0.0113609467455621,0.0121396449704142,0.0175467455621302,0.0162349112426035,0.0149822485207101,0.0625820959833768,0.0217927169803137,0.0187092961962474,0.0242863425158662,0.0229040004854201,0.0222902908002942
"230",0.0346107784431138,0.0135329341317365,0.0113047904191617,0.0123161676646707,0.0106389221556886,0.00947125748502994,0.0773175933702744,0.0439067720482895,0.0247404692818697,0.0239561278660214,0.0215023670602262,0.0201132160046015
"231",0.0268862275449102,0.0101197604790419,0.00815868263473054,0.00982455089820359,0.0097688622754491,0.00791736526946108,0.0670003074225708,0.0412162680473319,0.0210175808379126,0.020829434881384,0.0205431837380523,0.0173332989026239
