"","norm_F1","norm_F2","norm_F3","norm_F4","norm_F5","norm_F6","norm_F7","norm_F8","norm_CLEAR","norm_IR.LIGHT","Intensity"
"norm_F1",1,0.464233499101274,0.64858287385955,0.310968981440689,-0.0611821326314173,-0.301578023970172,-0.371042188048545,-0.108814615730854,0.267386336098358,0.299084318090603,0.115689677137651
"norm_F2",0.464233499101274,1,0.635058604001535,0.594604764102498,0.314009221554967,0.049667112578473,-0.116706415229483,-0.0850399335733746,-0.0320214935157013,-0.0431654781089094,0.0160092696648699
"norm_F3",0.64858287385955,0.635058604001535,1,0.746216242044852,0.291038389812262,-0.0450033106953485,-0.132631439003145,0.029918569551127,0.0654462398272401,0.0157031241456653,0.0537598531818964
"norm_F4",0.310968981440689,0.594604764102498,0.746216242044852,1,0.605144334392095,0.341951644725818,0.266740111806358,0.0966671239765343,-0.213123500471577,-0.310217804626654,-0.0362904283461997
"norm_F5",-0.0611821326314173,0.314009221554967,0.291038389812262,0.605144334392095,1,0.778584769450453,0.618064120573148,-0.0627166881555122,-0.350447229612339,-0.635164272801038,-0.129801030045086
"norm_F6",-0.301578023970172,0.049667112578473,-0.0450033106953485,0.341951644725818,0.778584769450453,1,0.798294206368023,0.0382427482719423,-0.519541369275678,-0.734934181283662,-0.162505992576843
"norm_F7",-0.371042188048545,-0.116706415229483,-0.132631439003145,0.266740111806358,0.618064120573148,0.798294206368023,1,0.236698968123898,-0.564857257026263,-0.742516772914404,-0.159653583927692
"norm_F8",-0.108814615730854,-0.0850399335733746,0.029918569551127,0.0966671239765343,-0.0627166881555122,0.0382427482719423,0.236698968123898,1,-0.607100487150871,-0.349320848677334,-0.0579614233633598
"norm_CLEAR",0.267386336098358,-0.0320214935157013,0.0654462398272401,-0.213123500471577,-0.350447229612339,-0.519541369275678,-0.564857257026263,-0.607100487150871,1,0.386243947191577,0.110610289313293
"norm_IR.LIGHT",0.299084318090603,-0.0431654781089094,0.0157031241456653,-0.310217804626654,-0.635164272801038,-0.734934181283662,-0.742516772914404,-0.349320848677334,0.386243947191577,1,0.201056204241818
"Intensity",0.115689677137651,0.0160092696648699,0.0537598531818964,-0.0362904283461997,-0.129801030045086,-0.162505992576843,-0.159653583927692,-0.0579614233633598,0.110610289313293,0.201056204241818,1
