"","X415","X445","X480","X515","X555","X590","X630","X680","X750"
"X415",1,0.976444922306862,0.951000954220418,0.940082064854804,0.931263151137352,0.920835599502386,0.926615259949183,0.921297201251922,0.954836123947478
"X445",0.976444922306862,1,0.992464789785812,0.989199925764678,0.984468687349261,0.979205489071582,0.970599157082251,0.976077576142364,0.985981062735292
"X480",0.951000954220418,0.992464789785812,1,0.998300709613696,0.996633500365984,0.99331137957649,0.982084281631586,0.99171441119046,0.991790282167056
"X515",0.940082064854804,0.989199925764678,0.998300709613696,1,0.997823410256217,0.995990770562151,0.983700929974512,0.994013380058097,0.990177988945923
"X555",0.931263151137352,0.984468687349261,0.996633500365984,0.997823410256217,1,0.998323279424705,0.984206816971062,0.993478084813645,0.987898648714768
"X590",0.920835599502386,0.979205489071582,0.99331137957649,0.995990770562151,0.998323279424705,1,0.982344452162381,0.995107631779798,0.983751379722145
"X630",0.926615259949183,0.970599157082251,0.982084281631586,0.983700929974512,0.984206816971062,0.982344452162381,1,0.99026530811336,0.991794276443921
"X680",0.921297201251922,0.976077576142364,0.99171441119046,0.994013380058097,0.993478084813645,0.995107631779798,0.99026530811336,1,0.990156783434349
"X750",0.954836123947478,0.985981062735292,0.991790282167056,0.990177988945923,0.987898648714768,0.983751379722145,0.991794276443921,0.990156783434349,1
