"","norm_415","norm_445","norm_480","norm_515","norm_555","norm_590","norm_630","norm_680","norm_750","Intensity"
"norm_415",1,0.42470877282559,0.686289513276227,0.429822947528963,0.210164183354173,-0.405599994190715,0.0377513237696541,-0.13807631553344,0.478518040540866,0.243505473746827
"norm_445",0.42470877282559,1,0.431468852993139,0.636194696724004,0.333145307575908,-0.0926506773203451,-0.185103176861949,-0.116382599810849,0.123132008767625,0.103531612618766
"norm_480",0.686289513276227,0.431468852993139,1,0.67296897856553,0.494914106108014,-0.354643747421435,0.0571397552097248,0.0297491829047192,0.626187517159454,0.244836631808311
"norm_515",0.429822947528963,0.636194696724004,0.67296897856553,1,0.554592887243823,-0.116283979213789,0.222028871825952,-0.213261311040669,0.434562082284879,0.161784076861339
"norm_555",0.210164183354173,0.333145307575908,0.494914106108014,0.554592887243823,1,0.196280878874919,0.339301564082676,-0.443996730762009,0.316767815702977,0.047234088640959
"norm_590",-0.405599994190715,-0.0926506773203451,-0.354643747421435,-0.116283979213789,0.196280878874919,1,-0.297516649977236,0.164970536665064,-0.725025627260995,-0.131767207720851
"norm_630",0.0377513237696541,-0.185103176861949,0.0571397552097248,0.222028871825952,0.339301564082676,-0.297516649977236,1,-0.665479863402779,0.632907856360575,0.0257683888036168
"norm_680",-0.13807631553344,-0.116382599810849,0.0297491829047192,-0.213261311040669,-0.443996730762009,0.164970536665064,-0.665479863402779,1,-0.340618845399462,0.0411256993821679
"norm_750",0.478518040540866,0.123132008767625,0.626187517159454,0.434562082284879,0.316767815702977,-0.725025627260995,0.632907856360575,-0.340618845399462,1,0.179002532231748
"Intensity",0.243505473746827,0.103531612618766,0.244836631808311,0.161784076861339,0.047234088640959,-0.131767207720851,0.0257683888036168,0.0411256993821679,0.179002532231748,1
